,Batch,Target,Project,fb-193-tk-010-oe-2022,fb-193-tk-010-oe-2022-reordered,fb-195-tk-013-oe-2022-interchange-replace-cache,fb-195-tk-013-oe-2022-interchange-replace-cache-switching,fb-196-ic-0318-oe-2022,fb-196-ic-0318-oe-2022-crit
96,opt-geo-batch-58,18438954-4,001_fit-all,661.058,661.059,661.06,661.06,9.408,661.06
97,opt-geo-batch-58,18438954-4,002_fit-opt,661.058,661.059,661.06,661.06,9.408,
98,opt-geo-batch-58,18438954-4,061_opt-geo-batch-58,661.058,661.059,661.06,,9.408,
99,opt-geo-batch-64,18439704-15,001_fit-all,17.706,17.706,17.706,17.706,7.98,17.706
100,opt-geo-batch-64,18439704-15,002_fit-opt,17.706,17.706,17.706,17.706,7.98,
101,opt-geo-batch-64,18439704-15,067_opt-geo-batch-64,17.706,17.706,17.706,,7.98,
102,opt-geo-batch-71,19094129-20,001_fit-all,470.715,470.715,117.418,117.418,117.415,117.418
103,opt-geo-batch-71,19094129-20,002_fit-opt,470.715,470.715,117.418,117.418,117.415,
104,opt-geo-batch-71,19094129-20,074_opt-geo-batch-71,470.715,470.715,117.418,,117.415,
105,opt-geo-batch-75,19094250-10,001_fit-all,480.939,150.779,480.94,480.94,480.97,480.94
106,opt-geo-batch-75,19094250-10,002_fit-opt,480.939,150.779,480.94,480.94,480.97,
107,opt-geo-batch-75,19094250-10,078_opt-geo-batch-75,480.939,150.779,480.94,,480.97,
108,opt-geo-batch-78,19094395-8,001_fit-all,327.768,327.768,862.083,862.083,862.083,862.083
109,opt-geo-batch-78,19094395-8,002_fit-opt,327.768,327.768,862.083,862.083,862.083,
110,opt-geo-batch-78,19094395-8,081_opt-geo-batch-78,327.768,327.768,862.083,,862.083,
111,opt-geo-batch-79,19094430-15,001_fit-all,119.851,119.701,120.066,120.066,101.136,120.066
112,opt-geo-batch-79,19094430-15,002_fit-opt,119.851,119.701,120.066,120.066,101.136,
113,opt-geo-batch-79,19094430-15,082_opt-geo-batch-79,119.851,119.701,120.066,,101.136,
114,opt-geo-batch-79,19094441-17,001_fit-all,84.345,84.096,84.232,84.232,69.599,84.232
115,opt-geo-batch-79,19094441-17,002_fit-opt,84.345,84.096,84.232,84.232,69.599,
116,opt-geo-batch-79,19094441-17,082_opt-geo-batch-79,84.345,84.096,84.232,,69.599,
117,opt-geo-batch-83,19094564-15,001_fit-all,662.573,411.628,411.628,411.628,411.699,411.628
118,opt-geo-batch-83,19094564-15,002_fit-opt,662.573,411.628,411.628,411.628,411.699,
119,opt-geo-batch-83,19094564-15,086_opt-geo-batch-83,662.573,411.628,411.628,,411.699,
120,opt-geo-batch-83,95602606-12,001_fit-all,352.848,609.252,609.256,609.256,609.277,609.256
121,opt-geo-batch-83,95602606-12,002_fit-opt,352.848,609.252,609.256,609.256,609.277,
122,opt-geo-batch-83,95602606-12,086_opt-geo-batch-83,352.848,609.252,609.256,,609.277,
123,opt-geo-batch-91,19094843-7,001_fit-all,523.362,1019.271,523.364,523.364,523.564,523.364
124,opt-geo-batch-91,19094843-7,002_fit-opt,523.362,1019.271,523.364,523.364,523.564,
125,opt-geo-batch-91,19094843-7,094_opt-geo-batch-91,523.362,1019.271,523.364,,523.564,
126,opt-geo-batch-96,19095011-20,001_fit-all,1561.274,2592.095,1561.278,1561.278,1561.667,1561.278
127,opt-geo-batch-96,19095011-20,002_fit-opt,1561.274,2592.095,1561.278,1561.278,1561.667,
128,opt-geo-batch-96,19095011-20,099_opt-geo-batch-96,1561.274,2592.095,1561.278,,1561.667,
129,opt-geo-batch-96,19095014-23,001_fit-all,239.718,1177.13,239.723,239.723,239.679,239.723
130,opt-geo-batch-96,19095014-23,002_fit-opt,239.718,1177.13,239.723,239.723,239.679,
131,opt-geo-batch-96,19095014-23,099_opt-geo-batch-96,239.718,1177.13,239.723,,239.679,
